State,Year,Question,Weighted_Data_Value,Weighted_Low_Confidence_Limit,Weighted_High_Confidence_Limit,Total_Sample_Size
Alabama,2011,Percent of adults aged 18 years and older who have an overweight classification,34.7952022922636,32.045178223495704,37.6737581661891,43625.0
Alabama,2011,Percent of adults aged 18 years and older who have obesity,32.09524529339013,29.46512299024323,34.84869909761349,43662.0
Alabama,2011,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),42.237279936742716,39.33618688806716,45.177557617619016,42999.0
Alabama,2011,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,14.547775307197194,12.522509069631361,16.922598010532475,42725.0
Alabama,2011,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),24.00878247246709,21.581062501461407,26.686562068884886,42767.0
Alabama,2011,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,23.933519842970917,21.472806443607155,26.644358459490554,44323.0
Alabama,2011,Percent of adults who engage in no leisure-time physical activity,33.082777927080535,30.440755173340502,35.84130386096927,44652.0
Alabama,2012,Percent of adults aged 18 years and older who have an overweight classification,34.85344581014224,32.27052411873841,37.54200100494744,51744.0
Alabama,2012,Percent of adults aged 18 years and older who have obesity,33.074615414347555,30.544896026592454,35.718471706864555,51744.0
Alabama,2012,Percent of adults who engage in no leisure-time physical activity,27.71673814165042,25.417829759584144,30.20130697113153,53865.0
Alabama,2013,Percent of adults aged 18 years and older who have an overweight classification,35.822401265517335,32.8478161782449,38.92614687508379,37297.0
Alabama,2013,Percent of adults aged 18 years and older who have obesity,32.59000723918814,29.769292436388994,35.53752044400354,37297.0
Alabama,2013,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),45.28694986822343,42.11968146909627,48.49698472525292,35287.0
Alabama,2013,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,15.475230094331504,13.262849442325887,18.077162599994267,34877.0
Alabama,2013,Percent of adults who achieve at least 300 minutes a week of moderate-intensity aerobic physical activity or 150 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),27.46946837031544,24.75898408533455,30.387961325651702,35062.0
Alabama,2013,Percent of adults who engage in muscle-strengthening activities on 2 or more days a week,23.992559867877787,21.23980181668043,27.004574731626754,36330.0
Alabama,2013,Percent of adults who engage in no leisure-time physical activity,31.873032366586177,29.018874630348076,34.90360020619117,36859.0
Alabama,2014,Percent of adults aged 18 years and older who have an overweight classification,33.611718095860475,31.071062143892824,36.28038270672085,48967.0
Alabama,2014,Percent of adults aged 18 years and older who have obesity,33.5691853697388,31.067635346253596,36.2176302407744,48967.0
Alabama,2014,Percent of adults who engage in no leisure-time physical activity,28.096160030998742,25.832105008234038,30.527887242080794,51615.0
Alabama,2015,Percent of adults aged 18 years and older who have an overweight classification,33.16374184191443,30.57642313270486,35.914031907179115,44128.0
Alabama,2015,Percent of adults aged 18 years and older who have obesity,35.670986675126905,32.97543283176215,38.475480420594636,44128.0
Alabama,2015,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic activity (or an equivalent combination),44.59979279300736,41.706668730797624,47.5283516326482,41987.0
Alabama,2015,Percent of adults who achieve at least 150 minutes a week of moderate-intensity aerobic physical activity or 75 minutes a week of vigorous-intensity aerobic physical activity and engage in muscle-strengthening activities on 2 or more days a week,16.450082974578518,14.372897376079273,18.825998701267466,41579.0
